date, category, title, amount
2020-12-08,,Pagamento recebido,-408.88
2020-12-08,,Pagamento recebido,-408.88
2020-03-04,,Pagamento recebido,-115.14
2020-12-14,,Pagamento recebido,-59.68
2021-01-08,,Pagamento recebido,-301.27
2020-08-24,,Pagamento recebido,-207.81
2020-08-31,,Crédito de Ebanx *Alipay,-592.73
2020-04-01,,Pagamento recebido,-100.03
2020-04-07,,Pagamento recebido,-77.96
2020-04-07,,Crédito de Dell Computadores,-36.89
