date,category,title,amount
2020-02-15,saúde,Pag*Rafaellimade 1/2,75
2020-02-15,saúde,San Farma,11.6
2020-02-15,restaurante,Milk Shake Mix,7.46
2020-03-02,restaurante,Sumup *Cantinhodoklay,10
2020-03-03,saúde,San Farma,7.84
2020-03-03,supermercado,Mercantil Mourao,3.24
2020-03-04,,Pagamento recebido,-115.14
